measure,location,sex,age,metric,year,val,upper,lower
Life expectancy,England,Male,5 to 9,Years,2006,73.16283649,73.22143113,73.1028333
Life expectancy,England,Female,5 to 9,Years,2006,77.30008102,77.35802107,77.23797005
Life expectancy,England,Both,5 to 9,Years,2006,75.28741088,75.32837029,75.24438888
Life expectancy,England,Male,10 to 14,Years,2006,68.20185312,68.26048363,68.14202122
Life expectancy,England,Female,10 to 14,Years,2006,72.33162248,72.38958567,72.26971602
Life expectancy,England,Both,10 to 14,Years,2006,70.32296912,70.36403996,70.28002846
Life expectancy,England,Male,15 to 19,Years,2006,63.24788718,63.30640843,63.18830313
Life expectancy,England,Female,15 to 19,Years,2006,67.36666867,67.42445267,67.30500162
Life expectancy,England,Both,15 to 19,Years,2006,65.36391863,65.40494026,65.32105612
Life expectancy,England,Male,20 to 24,Years,2006,58.38027819,58.43824412,58.32122079
Life expectancy,England,Female,20 to 24,Years,2006,62.43514681,62.49258135,62.37393147
Life expectancy,England,Both,20 to 24,Years,2006,60.46640857,60.50705351,60.42389786
Life expectancy,England,Male,25 to 29,Years,2006,53.56881103,53.62601683,53.51063866
Life expectancy,England,Female,25 to 29,Years,2006,57.51219121,57.56911978,57.45152981
Life expectancy,England,Both,25 to 29,Years,2006,55.60161861,55.64181168,55.5596245
Life expectancy,England,Male,30 to 34,Years,2006,48.76004998,48.81668882,48.70252622
Life expectancy,England,Female,30 to 34,Years,2006,52.59980282,52.65608527,52.5398351
Life expectancy,England,Both,30 to 34,Years,2006,50.7427188,50.78247511,50.70118017
Life expectancy,England,Male,35 to 39,Years,2006,43.9806908,44.03667124,43.9238443
Life expectancy,England,Female,35 to 39,Years,2006,47.70877577,47.76429702,47.64962951
Life expectancy,England,Both,35 to 39,Years,2006,45.90964947,45.94889718,45.86863899
Life expectancy,England,Male,40 to 44,Years,2006,39.24057442,39.29557586,39.18469683
Life expectancy,England,Female,40 to 44,Years,2006,42.86239304,42.91685816,42.80439112
Life expectancy,England,Both,40 to 44,Years,2006,41.1186071,41.15713397,41.07834962
Life expectancy,England,Male,45 to 49,Years,2006,34.56444674,34.61799637,34.51001927
Life expectancy,England,Female,45 to 49,Years,2006,38.08441941,38.13743063,38.02798287
Life expectancy,England,Both,45 to 49,Years,2006,36.39445681,36.43194279,36.35527932
Life expectancy,England,Male,50 to 54,Years,2006,29.99721958,30.04851839,29.94501822
Life expectancy,England,Female,50 to 54,Years,2006,33.4001852,33.45113577,33.34598235
Life expectancy,England,Both,50 to 54,Years,2006,31.7730446,31.80896665,31.73548847
Life expectancy,England,Male,55 to 59,Years,2006,25.59649793,25.64467482,25.5473996
Life expectancy,England,Female,55 to 59,Years,2006,28.84064778,28.88881574,28.7894482
Life expectancy,England,Both,55 to 59,Years,2006,27.29961986,27.33340282,27.26431317
Life expectancy,England,Male,60 to 64,Years,2006,21.38222552,21.42644772,21.33714499
Life expectancy,England,Female,60 to 64,Years,2006,24.41426195,24.45900872,24.36673012
Life expectancy,England,Both,60 to 64,Years,2006,22.98936826,23.02050803,22.95647611
Life expectancy,England,Male,65 to 69,Years,2006,17.44984808,17.48924097,17.40950819
Life expectancy,England,Female,65 to 69,Years,2006,20.18022494,20.22096516,20.13702252
Life expectancy,England,Both,65 to 69,Years,2006,18.92197489,18.95013075,18.89189136
Life expectancy,England,Male,70 to 74,Years,2006,13.82487244,13.85865786,13.78989176
Life expectancy,England,Female,70 to 74,Years,2006,16.18609207,16.22260064,16.14760898
Life expectancy,England,Both,70 to 74,Years,2006,15.1330426,15.15750158,15.10692107
Life expectancy,England,Male,75 to 79,Years,2006,10.58437438,10.61210846,10.5557943
Life expectancy,England,Female,75 to 79,Years,2006,12.51642891,12.54834604,12.48344114
Life expectancy,England,Both,75 to 79,Years,2006,11.70049033,11.72206236,11.67850704
Life expectancy,England,Male,<1 year,Years,2006,77.66753161,77.72687534,77.60818497
Life expectancy,England,Female,<1 year,Years,2006,81.87118874,81.92876864,81.80935469
Life expectancy,England,Both,<1 year,Years,2006,79.82232728,79.8628942,79.77773979
Life expectancy,England,Male,80 to 84,Years,2006,7.827340864,7.848912606,7.805393355
Life expectancy,England,Female,80 to 84,Years,2006,9.30982253,9.335917448,9.282992536
Life expectancy,England,Both,80 to 84,Years,2006,8.734293636,8.751863844,8.715727147
Life expectancy,England,Male,85 to 89,Years,2006,5.774021227,5.789168596,5.758412132
Life expectancy,England,Female,85 to 89,Years,2006,6.763167394,6.783785671,6.742102532
Life expectancy,England,Both,85 to 89,Years,2006,6.42705219,6.441312069,6.411972271
Life expectancy,England,Male,90 to 94,Years,2006,4.303603686,4.314563538,4.292438272
Life expectancy,England,Female,90 to 94,Years,2006,4.799636996,4.813879398,4.785172438
Life expectancy,England,Both,90 to 94,Years,2006,4.660583123,4.671290164,4.649336917
Life expectancy,East Sussex,Both,10 to 14,Years,1993,68.88356246,69.22126769,68.52726209
Life expectancy,East Sussex,Male,15 to 19,Years,1993,61.19796101,61.7204158,60.68672508
Life expectancy,East Sussex,Female,15 to 19,Years,1993,66.32934106,66.77583058,65.88919732
Life expectancy,East Sussex,Both,15 to 19,Years,1993,63.93336062,64.26976578,63.57786015
Life expectancy,East Sussex,Male,20 to 24,Years,1993,56.37156808,56.88812353,55.86647604
Life expectancy,East Sussex,Female,20 to 24,Years,1993,61.54046592,61.98154239,61.10681815
Life expectancy,East Sussex,Both,20 to 24,Years,1993,59.12579361,59.45709882,58.77379563
Life expectancy,East Sussex,Male,25 to 29,Years,1993,51.62978602,52.13666719,51.13428512
Life expectancy,East Sussex,Female,25 to 29,Years,1993,56.63461661,57.0709957,56.20594268
Life expectancy,East Sussex,Both,25 to 29,Years,1993,54.30399632,54.63059936,53.9573274
Life expectancy,East Sussex,Male,30 to 34,Years,1993,46.89020961,47.38999213,46.40184612
